"Country","Service","year","export"
"UK","Insurance","2017",0.2059
"UK","Construction","2017",0
"UK","Financial","2017",3.7188
"UK","Telecommunications, Computer & Information","2017",0.3525
"UK","Charges For The Use Of Intellectual Property","2017",0.068
"UK","Personal, Cultural And Recreational","2017",0.0903
"UK","Trade-Related","2017",0.16
"UK","Business Management","2017",1.7768
"UK","Other Services","2017",0.6025
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2017",0
"Australia","Maintenance And Repair Services","2017",0.1687
"Australia","Transport","2017",5.7195
"Australia","Insurance","2017",0.3809
"Australia","Construction","2017",0.0056
"Australia","Financial","2017",1.5842
"Australia","Telecommunications, Computer & Information","2017",2.4878
"Australia","Charges For The Use Of Intellectual Property","2017",0.3603
"Australia","Personal, Cultural And Recreational","2017",0.0375
"Australia","Trade-Related","2017",0.8978
"Australia","Business Management","2017",1.4012
"Australia","Other Services","2017",0
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2016",0
"Japan","Maintenance And Repair Services","2016",0.4499
"Japan","Transport","2016",2.7582
"Japan","Insurance","2016",0.596
"Japan","Construction","2016",0
"Japan","Financial","2016",0.8178
"Japan","Telecommunications, Computer & Information","2016",2.157
"Japan","Charges For The Use Of Intellectual Property","2016",0.2813
"Japan","Personal, Cultural And Recreational","2016",0.0499
"Japan","Trade-Related","2016",0.2822
"Japan","Business Management","2016",2.5944
"Japan","Other Services","2016",4.7472
"China","Manufacturing Services On Physical Inputs Owned By Others","2016",0.0047
"China","Maintenance And Repair Services","2016",0.5104
"China","Transport","2016",5.1741
"China","Insurance","2016",0.436
"China","Construction","2016",0.0673
"China","Financial","2016",1.432
"China","Telecommunications, Computer & Information","2016",0.445
"China","Charges For The Use Of Intellectual Property","2016",0.5944
"China","Personal, Cultural And Recreational","2016",0.0474
"China","Trade-Related","2016",0.4358
"China","Business Management","2016",0.8246
"China","Other Services","2016",0.807
"USA","Manufacturing Services On Physical Inputs Owned By Others","2016",0
"USA","Maintenance And Repair Services","2016",2.0624
"USA","Transport","2016",8.0367
"USA","Insurance","2016",0.3103
"USA","Construction","2016",0
"USA","Financial","2016",1.7398
"USA","Telecommunications, Computer & Information","2016",1.5767
"USA","Charges For The Use Of Intellectual Property","2016",0.2213
"USA","Personal, Cultural And Recreational","2016",0.1399
"USA","Trade-Related","2016",0.5977
"USA","Business Management","2016",4.955
"USA","Other Services","2016",2.2641
"UK","Manufacturing Services On Physical Inputs Owned By Others","2016",NA
"UK","Maintenance And Repair Services","2016",1.9295
"UK","Transport","2016",2.0447
"UK","Insurance","2016",0.1688
"UK","Construction","2016",0
"UK","Financial","2016",3.233
"UK","Telecommunications, Computer & Information","2016",0.2926
"UK","Charges For The Use Of Intellectual Property","2016",0
"UK","Personal, Cultural And Recreational","2016",0.0666
"UK","Trade-Related","2016",0.1639
"UK","Business Management","2016",1.5042
"UK","Other Services","2016",0.672
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2016",0
"Australia","Maintenance And Repair Services","2016",0.2107
"Australia","Transport","2016",4.3831
"Australia","Insurance","2016",0.3407
"Australia","Construction","2016",0.0059
"Australia","Financial","2016",1.1383
"Australia","Telecommunications, Computer & Information","2016",1.9381
"Australia","Charges For The Use Of Intellectual Property","2016",0.1268
"Australia","Personal, Cultural And Recreational","2016",0.0775
"Australia","Trade-Related","2016",0.8752
"Australia","Business Management","2016",1.4721
"Australia","Other Services","2016",0
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2015",0
"Japan","Maintenance And Repair Services","2015",0.3332
"Japan","Transport","2015",3.1407
"Japan","Insurance","2015",0.3729
"Japan","Construction","2015",0.0042
"Japan","Financial","2015",0.7767
"Japan","Telecommunications, Computer & Information","2015",1.347
"Japan","Charges For The Use Of Intellectual Property","2015",0.3078
"Japan","Personal, Cultural And Recreational","2015",0.0938
"Japan","Trade-Related","2015",0.2631
"Japan","Business Management","2015",2.7633
"Japan","Other Services","2015",0
"China","Manufacturing Services On Physical Inputs Owned By Others","2015",0
"China","Maintenance And Repair Services","2015",0.4553
"China","Transport","2015",6.281
"China","Insurance","2015",0.3071
"China","Construction","2015",0.0828
"China","Financial","2015",1.4087
"China","Telecommunications, Computer & Information","2015",0.2463
"China","Charges For The Use Of Intellectual Property","2015",0.5382
"China","Personal, Cultural And Recreational","2015",0
"China","Trade-Related","2015",0.4697
"China","Business Management","2015",0.6838
"China","Other Services","2015",1.3662
"USA","Manufacturing Services On Physical Inputs Owned By Others","2015",0.0327
"USA","Maintenance And Repair Services","2015",1.993
"USA","Transport","2015",9.5266
"USA","Insurance","2015",0.2148
"USA","Construction","2015",0.0499
"USA","Financial","2015",1.6857
"USA","Telecommunications, Computer & Information","2015",1.0555
"USA","Charges For The Use Of Intellectual Property","2015",0.1693
"USA","Personal, Cultural And Recreational","2015",0.1394
"USA","Trade-Related","2015",0.8562
"USA","Business Management","2015",4.7176
"USA","Other Services","2015",2.4885
"UK","Manufacturing Services On Physical Inputs Owned By Others","2015",NA
"UK","Maintenance And Repair Services","2015",1.9622
"UK","Transport","2015",2.0097
"UK","Insurance","2015",0.2146
"UK","Construction","2015",0
"UK","Financial","2015",3.4181
"UK","Telecommunications, Computer & Information","2015",0.2634
"UK","Charges For The Use Of Intellectual Property","2015",0
"UK","Personal, Cultural And Recreational","2015",0.0654
"UK","Trade-Related","2015",0.2068
"UK","Business Management","2015",1.6035
"UK","Other Services","2015",0.6261
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2015",0
"Australia","Maintenance And Repair Services","2015",0.2399
"Australia","Transport","2015",3.7176
"Australia","Insurance","2015",0.336
"Australia","Construction","2015",0.0067
"Australia","Financial","2015",1.1145
"Australia","Telecommunications, Computer & Information","2015",1.185
"Australia","Charges For The Use Of Intellectual Property","2015",0.1681
"Australia","Personal, Cultural And Recreational","2015",0.0755
"Australia","Trade-Related","2015",0.9136
"Australia","Business Management","2015",1.3958
"Australia","Other Services","2015",0
